pmcid,pmid,title,author_count,first_author,publication_date,journal,doi,abstract,keywords,section_count,total_words,nasa_related,mentions_iss,mentions_microgravity
PMC5805884,29439046,Draft Genome Sequences of Acinetobacter and Bacillus Strains Isolated from Spacecraft-Associated Surfaces,4,Arman Seuylemezian,2018 Feb 8,Genome Announcements,10.1128/genomeA.01554-17,"We report here the draft genome sequences of four strains isolated from spacecraft-associated surfaces exhibiting increased resistance to stressors such as UV radiation and exposure to H 2 O 2 . The draft genomes of strains 1P01SC T , FO-92 T , 50v1, and 2P01AA had sizes of 5,500,894 bp, 4,699,376 bp, 3,174,402 bp, and 4,328,804 bp, respectively.",,5,655,True,False,False
PMC5460236,28649627,From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions,6,Joshua S Alwood,2017 Jan 12,NPJ Microgravity,10.1038/s41526-016-0002-8,"NASA’s Space Biology and Human Research Program entities have recently spearheaded communications both internally and externally to coordinate the agency’s translational research efforts. In this paper, we strongly advocate for translational research at NASA, provide recent examples of NASA sponsored early-stage translational research, and discuss options for a path forward. Our overall objective is to help in stimulating a collaborative research across multiple disciplines and entities that, working together, will more effectively and more rapidly achieve NASA’s goals for human spaceflight.",,25,4013,True,True,True
PMC3502426,23185266,Aging and Estrogen Status: A Possible Endothelium-Dependent Vascular Coupling Mechanism in Bone Remodeling,5,Rhonda D Prisby,2012 Nov 20,PLoS ONE,10.1371/journal.pone.0048564,"Bone loss with aging and menopause may be linked to vascular endothelial dysfunction. The purpose of the study was to determine whether putative modifications in endothelium-dependent vasodilation of the principal nutrient artery (PNA) of the femur are associated with changes in trabecular bone volume (BV/TV) with altered estrogen status in young (6 mon) and old (24 mon) female Fischer-344 rats. Animals were divided into 6 groups: 1) young intact, 2) old intact, 3) young ovariectomized (OVX), 4) old OVX, 5) young OVX plus estrogen replacement (OVX+E2), and 6) old OVX+E2. PNA endothelium-dependent vasodilation was assessed in vitro using acetylcholine. Trabecular bone volume of the distal femoral metaphysis was determined by microCT. In young rats, vasodilation was diminished by OVX and restored with estrogen replacement (intact, 82±7; OVX, 61±9; OVX+E2, 90±4%), which corresponded with similar modifications in BV/TV (intact, 28.7±1.6; OVX, 16.3±0.9; OVX+E2, 25.7±1.4%). In old animals, vasodilation was unaffected by OVX but enhanced with estrogen replacement (intact, 55±8; OVX, 59±7; OVX+E2, 92±4%). Likewise, modifications in BV/TV followed the same pattern (intact, 33.1±1.6; OVX, 34.4±3.7; OVX+E2, 42.4±2.1%). Furthermore, in old animals with low endogenous estrogen (i.e., intact and old OVX), vasodilation was correlated with BV/TV (R 2 = 0.630; P<0.001). These data demonstrate parallel effects of estrogen on vascular endothelial function and BV/TV, and provide for a possible coupling mechanism linking endothelium-dependent vasodilation to bone remodeling.",,25,4755,False,True,True
PMC5552977,28798168,"Draft Genome Sequences from a Novel Clade of Bacillus cereus Sensu Lato Strains, Isolated from the International Space Station",19,Kasthuri Venkateswaran,2017 Aug 10,Genome Announcements,10.1128/genomeA.00680-17,"The draft genome sequences of six Bacillus strains, isolated from the International Space Station and belonging to the Bacillus anthracis - B. cereus - B. thuringiensis group, are presented here. These strains were isolated from the Japanese Experiment Module (one strain), U.S. Harmony Node 2 (three strains), and Russian Segment Zvezda Module (two strains).",,5,888,True,True,False
PMC5896955,29561262,The signaling lipid sphingosine 1-phosphate regulates mechanical pain,7,Rose Z Hill,2018 Mar 21,eLife,10.7554/eLife.33285,"Somatosensory neurons mediate responses to diverse mechanical stimuli, from innocuous touch to noxious pain. While recent studies have identified distinct populations of A mechanonociceptors (AMs) that are required for mechanical pain, the molecular underpinnings of mechanonociception remain unknown. Here, we show that the bioactive lipid sphingosine 1-phosphate (S1P) and S1P Receptor 3 (S1PR3) are critical regulators of acute mechanonociception. Genetic or pharmacological ablation of S1PR3, or blockade of S1P production, significantly impaired the behavioral response to noxious mechanical stimuli, with no effect on responses to innocuous touch or thermal stimuli. These effects are mediated by fast-conducting A mechanonociceptors, which displayed a significant decrease in mechanosensitivity in S1PR3 mutant mice. We show that S1PR3 signaling tunes mechanonociceptor excitability via modulation of KCNQ2/3 channels. Our findings define a new role for S1PR3 in regulating neuronal excitability and establish the importance of S1P/S1PR3 signaling in the setting of mechanical pain thresholds.",,38,9122,False,True,False
PMC11953390,40155631,Identification of therapeutic targets for chronic kidney disease through Mendelian randomization analysis of druggable genes,8,Run-Sen Liang,2025 Mar 28,Scientific Reports,10.1038/s41598-025-94761-0,"Chronic Kidney Disease (CKD) is a multifaceted and gradually advancing condition characterized by a complex pathogenesis. The current therapeutic options for CKD remain limited in efficacy. Consequently, the identification and exploration of novel drug targets for CKD are of paramount importance. We identified cis-expression quantitative trait loci (cis-eQTLs) with potential as drug targets from the eQTLGen Consortium database to serve as the exposure. For the outcome, we utilized a genome-wide association study (GWAS) of chronic kidney disease (CKD) from the FinnGen database, which comprised a case group of 11,265 individuals and a control group of 436,208 individuals. MR analysis was employed to investigate druggable genes closely associated with CKD. Subsequently, Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analyses were conducted to elucidate the functional roles of these significant genes. Finally, a colocalization analysis was conducted to determine the likelihood that a cis-eQTL for a druggable gene and CKD share a causal variant. The expression of 12 genes was found to be significantly associated with CKD risk, with a false discovery rate (FDR) of less than 0.05. GO and KEGG enrichment analyses indicated that these genes are primarily involved in the regulation of MAP kinase activity, regulation of protein serine/threonine kinase activity, Gap junction, Platelet activation and Oxytocin signaling pathway. The colocalization analysis results suggested that CKD and the TUBB gene may share a causal variant, with a posterior probability (PP.H4) exceeding 80% (TUBB: 97.27%). Compelling statistical evidence indicates that TUBB represents the most promising pharmacological target for the treatment of CKD. This study not only identifies potential therapeutic targets but also offers valuable insights for future drug development in the context of CKD.",,29,4027,False,True,False
PMC9861679,36675054,Low-Speed Clinorotation of Brachypodium distachyon and Arabidopsis thaliana Seedlings Triggers Root Tip Curvatures That Are Reminiscent of Gravitropism,6,Shih-Heng Su,2023 Jan 12,International Journal of Molecular Sciences,10.3390/ijms24021540,"Clinostats are instruments that continuously rotate biological specimens along an axis, thereby averaging their orientation relative to gravity over time. Our previous experiments indicated that low-speed clinorotation may itself trigger directional root tip curvature. In this project, we have investigated the root curvature response to low-speed clinorotation using Arabidopsis thaliana and Brachypodium distachyon seedlings as models. We show that low-speed clinorotation triggers root tip curvature in which direction is dictated by gravitropism during the first half-turn of clinorotation. We also show that the angle of root tip curvature is modulated by the speed of clinorotation. Arabidopsis mutations affecting gravity susception ( pgm ) or gravity signal transduction ( arg1 , toc132 ) are shown to affect the root tip curvature response to low-speed clinorotation. Furthermore, low-speed vertical clinorotation triggers relocalization of the PIN3 auxin efflux facilitator to the lateral membrane of Arabidopsis root cap statocytes, and creates a lateral gradient of auxin across the root tip. Together, these observations support a role for gravitropism in modulating root curvature responses to clinorotation. Interestingly, distinct Brachypodium distachyon accessions display different abilities to develop root tip curvature responses to low-speed vertical clinorotation, suggesting the possibility of using genome-wide association studies to further investigate this process.",,27,8565,False,True,True
PMC3258067,21847020,Effects of mechanostimulation on gravitropism and signal persistence in flax roots,2,Susan P John,2011 Sep 1,Plant Signaling & Behavior,10.4161/psb.6.9.16601,"Gravitropism describes curvature of plants in response to gravity or differential acceleration and clinorotation is commonly used to compensate unilateral effect of gravity. We report on experiments that examine the persistence of the gravity signal and separate mechanostimulation from gravistimulation. Flax roots were reoriented (placed horizontally for 5, 10 or 15 min) and clinorotated at a rate of 0.5 to 5 rpm either vertically (parallel to the gravity vector and root axis) or horizontally (perpendicular to the gravity vector and parallel to the root axis). Image sequences showed that horizontal clinorotation did not affect root growth rate (0.81 ± 0.03 mm h −1 ) but vertical clinorotation reduced root growth by about 7%. The angular velocity (speed of clinorotation) did not affect growth for either direction. However, maximal curvature for vertical clinorotation decreased with increasing rate of rotation and produced straight roots at 5 rpm. In contrast, horizontal clinorotation increased curvature with increasing angular velocity. The point of maximal curvature was used to determine the longevity (memory) of the gravity signal, which lasted about 120 min. The data indicate that mechanostimulation modifies the magnitude of the graviresponse but does not affect memory persistence.",,16,3351,False,True,True
PMC10528075,37759473,Metabolomics Profile of the Secretome of Space-Flown Oligodendrocytes,4,Laurent Vergnes,2023 Sep 11,Cells,10.3390/cells12182249,"Intracranial hypertension (ICP) and visual impairment intracranial pressure (VIIP) are some of the sequels of long-term space missions. Here we sought to determine how space microgravity (µG) impacts the metabolomics profile of oligodendrocyte progenitors (OLPs), the myelin-forming cells in the central nervous system. We report increased glutamate and energy metabolism while the OLPs were in space for 26 days. We also show that after space flight, OLPs (SPC OLPs) display significantly increased mitochondrial respiration and glycolysis. These data are in agreement with our previous work using simulated microgravity. In addition, our global metabolomics approach allowed for the discovery of endogenous metabolites secreted by OLPs while in space that are significantly modulated by microgravity. Our results provide, for the first time, relevant information about the energetic state of OLPs while in space and after space flight. The functional and molecular relevance of these specific pathways are promising targets for therapeutic intervention for humans in long-term space missions to the moon, Mars and beyond.",,40,5436,True,True,True
PMC8323809,34381960,The rapid diagnosis and effective inhibition of coronavirus using spike antibody attached gold nanoparticles,9,Avijit Pramanik,2021 Jan 18,Nanoscale Advances,10.1039/d0na01007c,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the cause of the coronavirus disease that began in 2019 (COVID-19), has been responsible for 1.4 million deaths worldwide as of 13 November 2020. Because at the time of writing no vaccine is yet available, a rapid diagnostic assay is very urgently needed. Herein, we present the development of anti-spike antibody attached gold nanoparticles for the rapid diagnosis of specific COVID-19 viral antigen or virus via a simple colorimetric change observation within a 5 minute time period. For rapid and highly sensitive identification, surface enhanced Raman spectroscopy (SERS) was employed using 4-aminothiophenol as a reporter molecule, which is attached to the gold nanoparticle via an Au–S bond. In the presence of COVID-19 antigen or virus particles, owing to the antigen–antibody interaction, the gold nanoparticles undergo aggregation, changing color from pink to blue, which allows for the determination of the presence of antigen or virus very rapidly by the naked eye, even at concentrations of 1 nanogram (ng) per mL for COVID-19 antigen and 1000 virus particles per mL for SARS-CoV-2 spike protein pseudotyped baculovirus. Importantly, the aggregated gold nanoparticles form “hot spots” to provide very strong SERS signal enhancement from anti-spike antibody and 4-aminothiophenol attached gold nanoparticles via light–matter interactions. Finite-difference time-domain (FDTD) simulation data indicate a 4-orders-of-magnitude Raman enhancement in “hot spot” positions when gold nanoparticles form aggregates. Using a portable Raman analyzer, our reported data demonstrate that our antibody and 4-aminothiophenol attached gold nanoparticle-based SERS probe has the capability to detect COVID-19 antigen even at a concentration of 4 picograms (pg) per mL and virus at a concentration of 18 virus particles per mL within a 5 minute time period. Using HEK293T cells, which express angiotensin-converting enzyme 2 (ACE2), by which SARS-CoV-2 enters human cells, we show that anti-spike antibody attached gold nanoparticles have the capability to inhibit infection by the virus. Our reported data show that antibody attached gold nanoparticles bind to SARS-CoV-2 spike protein, thereby inhibiting the virus from binding to cell receptors, which stops virus infection and spread. It also has the capability to destroy the lipid membrane of the virus.",,20,4772,True,True,False
PMC9693084,36431005,Utilizing the KSC Fixation Tube to Conduct Human-Tended Plant Biology Experiments on a Suborbital Spaceflight,9,Natasha J Haveman,2022 Nov 13,Life,10.3390/life12111871,"Suborbital spaceflights now enable human-tended research investigating short-term gravitational effects in biological systems, eliminating the need for complex automation. Here, we discuss a method utilizing KSC Fixation Tubes (KFTs) to both carry biology to suborbital space as well as fix that biology at certain stages of flight. Plants on support media were inserted into the sample side of KFTs preloaded with RNAlater in the fixation chamber. The KFTs were activated at various stages of a simulated flight to fix the plants. RNA-seq analysis conducted on tissue samples housed in KFTs, showed that plants behaved consistently in KFTs when compared to petri-plates. Over the time course, roots adjusted to hypoxia and leaves adjusted to changes in photosynthesis. These responses were due in part to the environment imposed by the encased triple containment of the KFTs, which is a requirement for flight in human spacecraft. While plants exhibited expected reproducible transcriptomic alteration over time in the KFTs, responses to clinorotation during the simulated flight suggest that transcriptomic responses to suborbital spaceflight can be examined using this approach.",,29,4813,True,True,True
PMC8211661,34140518,Evaluating the lettuce metatranscriptome with MinION sequencing for future spaceflight food production applications,7,Natasha J Haveman,2021 Jun 17,NPJ Microgravity,10.1038/s41526-021-00151-x,"Healthy plants are vital for successful, long-duration missions in space, as they provide the crew with life support, food production, and psychological benefits. The microorganisms that associate with plant tissues play a critical role in improving plant health and production. To that end, we developed a methodology to investigate the transcriptional activities of the microbiome of red romaine lettuce, a key salad crop that was grown under International Space Station (ISS)-like conditions. Microbial transcripts enriched from host–microbe total RNA were sequenced using the Oxford Nanopore MinION sequencing platform. Results show that this enrichment approach was highly reproducible and could be an effective approach for the on-site detection of microbial transcriptional activity. Our results demonstrate the feasibility of using metatranscriptomics of enriched microbial RNA as a potential method for on-site monitoring of the transcriptional activity of crop microbiomes, thereby helping to facilitate and maintain plant health for on-orbit space food production.",,24,6142,True,True,True
PMC11166944,38862542,Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,37,J Tyson McDonald,2024 Jun 11,Nature Communications,10.1038/s41467-024-48920-y,"Our previous research revealed a key microRNA signature that is associated with spaceflight that can be used as a biomarker and to develop countermeasure treatments to mitigate the damage caused by space radiation. Here, we expand on this work to determine the biological factors rescued by the countermeasure treatment. We performed RNA-sequencing and transcriptomic analysis on 3D microvessel cell cultures exposed to simulated deep space radiation (0.5 Gy of Galactic Cosmic Radiation) with and without the antagonists to three microRNAs: miR-16-5p, miR-125b-5p, and let-7a-5p ( i.e ., antagomirs). Significant reduction of inflammation and DNA double strand breaks (DSBs) activity and rescue of mitochondria functions are observed after antagomir treatment. Using data from astronaut participants in the NASA Twin Study, Inspiration4, and JAXA missions, we reveal the genes and pathways implicated in the action of these antagomirs are altered in humans. Our findings indicate a countermeasure strategy that can potentially be utilized by astronauts in spaceflight missions to mitigate space radiation damage.",,53,13418,True,True,True
PMC5045078,27380804,Changes in the distribution and function of leukocytes after whole-body iron ion irradiation,2,Daila S Gridley,2016 Sep 30,Journal of Radiation Research,10.1093/jrr/rrw051,"High-energy particle radiation could have a considerable impact on health during space missions. This study evaluated C57BL/6 mice on Day 40 after total-body 56 Fe 26+ irradiation at 0, 1, 2 and 3 gray (Gy). Radiation consistently increased thymus mass (one-way ANOVA: P < 0.005); spleen, liver and lung masses were similar among all groups. In the blood, there was no radiation effect on the white blood cell (WBC) count or major leukocyte types. However, the red blood cell count, hemoglobin, hematocrit and the CD8+ T cytotoxic (Tc) cell count and percentage all decreased, while both the CD4:CD8 (Th:Tc) cell ratio and spontaneous blastogenesis increased, in one or more irradiated groups compared with unirradiated controls ( P < 0.05 vs 0 Gy). In contrast, splenic WBC, lymphocyte, B cell and T helper (Th) counts, %B cells and the CD4:CD8 ratio were all significantly elevated, while Tc percentages decreased, in one or more of the irradiated groups compared with controls ( P < 0.05 vs 0 Gy). Although there were trends for minor, radiation-induced increases in %CD11b+ granulocytes in the spleen, cells double-labeled with adhesion markers (CD11b+CD54+, CD11b+CD62E+) were normal. Splenocyte spontaneous blastogenesis and that induced by mitogens (PHA, ConA, LPS) was equivalent to normal. In bone marrow, the percentage of cells expressing stem cell markers, Sca-1 and CD34/Sca-1, were low in one or more of the irradiated groups ( P < 0.05 vs 0 Gy). Collectively, the data indicate that significant immunological abnormalities still exist more than a month after 56 Fe irradiation and that there are differences dependent upon body compartment.",,31,4930,True,True,True
PMC4161659,24990938,Morbid Obesity Attenuates the Skeletal Abnormalities Associated with Leptin Deficiency in Mice,6,Russell T Turner,2014 Jul 2,The Journal of endocrinology,10.1530/JOE-14-0224,"Leptin-deficient ob/ob mice are morbidly obese and exhibit low total bone mass and mild osteopetrosis. In order to disassociate the skeletal effects of leptin deficiency from those associated with morbid obesity, we evaluated bone mass, architecture, gene expression, and indices of bone turnover in wild type (WT) mice, ob/ob mice fed ad libitum ( ob/ob ) , and ob/ob mice pair fed to WT mice (pair-fed ob/ob ). Mice were maintained at 32°C (thermoneutral) from 6 to 18 weeks of age to minimize differences in resting energy expenditure. ob/ob mice were heavier, had more abdominal white adipose tissue (WAT), and were hyperglycemic compared to WT mice. Femur length, bone mineral content (BMC) and bone mineral density, and midshaft femur cortical thickness were lower in ob/ob mice than in WT mice. Cancellous bone volume fraction was higher but indices of bone formation and resorption were lower in ob/ob compared to WT mice; reduced bone resorption in ob/ob mice resulted in pathological retention of calcified cartilage. Pair-fed ob/ob mice were lighter, had lower WAT, uterine weight, and serum glucose than ob/ob mice. Similarly, femoral length, BMC, and cortical thickness were lower in pair-fed ob/ob mice compared to ob/ob mice, as were indices of cancellous bone formation and resorption. In contrast, bone marrow adiposity, calcified cartilage and cancellous bone volume fraction were higher at one or more cancellous sites in pair-fed ob/ob mice compared to ob/ob mice. These findings demonstrate that the skeletal abnormalities caused by leptin deficiency are markedly attenuated in morbidly obese ob/ob mice.",,23,5528,True,True,False
PMC4776492,26862170,REDUCED CHLOROPLAST COVERAGE genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment,8,Robert M Larkin,2016 Feb 9,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1515741113,"Eukaryotic cells require mechanisms to establish the proportion of cellular volume devoted to particular organelles. These mechanisms are poorly understood. From a screen for plastid-to-nucleus signaling mutants in Arabidopsis thaliana , we cloned a mutant allele of a gene that encodes a protein of unknown function that is homologous to two other Arabidopsis genes of unknown function and to FRIENDLY , which was previously shown to promote the normal distribution of mitochondria in Arabidopsis . In contrast to FRIENDLY , these three homologs of FRIENDLY are found only in photosynthetic organisms. Based on these data, we proposed that FRIENDLY expanded into a small gene family to help regulate the energy metabolism of cells that contain both mitochondria and chloroplasts. Indeed, we found that knocking out these genes caused a number of chloroplast phenotypes, including a reduction in the proportion of cellular volume devoted to chloroplasts to 50% of wild type. Thus, we refer to these genes as REDUCED CHLOROPLAST COVERAGE ( REC ). The size of the chloroplast compartment was reduced most in rec1 mutants. The REC1 protein accumulated in the cytosol and the nucleus. REC1 was excluded from the nucleus when plants were treated with amitrole, which inhibits cell expansion and chloroplast function. We conclude that REC1 is an extraplastidic protein that helps to establish the size of the chloroplast compartment, and that signals derived from cell expansion or chloroplasts may regulate REC1.",,22,8211,True,True,False
PMC3868799,24169547,Bone Marrow Leptin Signaling Mediates Obesity-Associated Adipose Tissue Inflammation in Male Mice,5,Lea H Dib,2013 Oct 29,Endocrinology,10.1210/en.2013-1607,"Obesity is characterized by an increased recruitment of proinflammatory macrophages to the adipose tissue (AT), leading to systemic inflammation and metabolic disease. The pathogenesis of this AT inflammation, however, remains to be elucidated. The circulating adipokine leptin is increased in obesity and is involved in immune cell function and activation. In the present study, we investigated the role of leptin in the induction of obesity-associated inflammation. We generated radiation chimeric C57BL/6J mice reconstituted with either leptin receptor-deficient ( db / db ) or wild-type (WT) bone marrow and challenged them with a high-fat diet (HFD) for 16 weeks. Mice reconstituted with db / db bone marrow (WT/db), had significantly lower body weight and adiposity compared with mice with WT bone marrow (WT/WT). Gonadal AT in WT/db mice displayed a 2-fold lower expression of the inflammatory genes Tnfa , Il6 , and Ccl2 . In addition, gonadal fat of WT/db mice contained significantly fewer crown-like structures compared with WT/WT mice, and most of their AT macrophages expressed macrophage galactose-type C type lectin 1 (MGL1) and were C-C chemokine receptor type 2 (CCR2)-negative, indicative of an anti-inflammatory phenotype. Moreover, WT/db mice exhibited greater insulin sensitivity compared with WT/WT mice. These data show that disrupted leptin signaling in bone marrow-derived cells attenuates the proinflammatory conditions that mediate many of the metabolic complications that characterize obesity. Our findings establish a novel mechanism involved in the regulation of obesity-associated systemic inflammation and support the hypothesis that leptin is a proinflammatory cytokine.",,15,2461,True,True,False
PMC4642138,26617617,Gravitropism and Lateral Root Emergence are Dependent on the Trans-Golgi Network Protein TNO1,2,Rahul Roy,2015 Nov 12,Frontiers in Plant Science,10.3389/fpls.2015.00969,"The trans -Golgi network (TGN) is a dynamic organelle that functions as a relay station for receiving endocytosed cargo, directing secretory cargo, and trafficking to the vacuole. TGN-localized SYP41-interacting protein (TNO1) is a large, TGN-localized, coiled-coil protein that associates with the membrane fusion protein SYP41, a target SNARE, and is required for efficient protein trafficking to the vacuole. Here, we show that a tno1 mutant has auxin transport-related defects. Mutant roots have delayed lateral root emergence, decreased gravitropic bending of plant organs and increased sensitivity to the auxin analog 2,4-dichlorophenoxyacetic acid and the natural auxin 3-indoleacetic acid. Auxin asymmetry at the tips of elongating stage II lateral roots was reduced in the tno1 mutant, suggesting a role for TNO1 in cellular auxin transport during lateral root emergence. During gravistimulation, tno1 roots exhibited delayed auxin transport from the columella to the basal epidermal cells. Endocytosis to the TGN was unaffected in the mutant, indicating that bulk endocytic defects are not responsible for the observed phenotypes. Together these studies demonstrate a role for TNO1 in mediating auxin responses during root development and gravistimulation, potentially through trafficking of auxin transport proteins.",,26,6374,False,True,False
PMC7171750,32312311,The influence of spaceflight on the astronaut salivary microbiome and the search for a microbiome biomarker for viral reactivation,9,Camilla Urbaniak,2020 Apr 20,Microbiome,10.1186/s40168-020-00830-z,,,32,4880,True,True,True
PMC3851762,24324620,Spaceflight Enhances Cell Aggregation and Random Budding in Candida albicans,15,Aurélie Crabbé,2013 Dec 4,PLoS ONE,10.1371/journal.pone.0080677,"This study presents the first global transcriptional profiling and phenotypic characterization of the major human opportunistic fungal pathogen, Candida albicans , grown in spaceflight conditions. Microarray analysis revealed that C. albicans subjected to short-term spaceflight culture differentially regulated 452 genes compared to synchronous ground controls, which represented 8.3% of the analyzed ORFs. Spaceflight-cultured C. albicans –induced genes involved in cell aggregation (similar to flocculation), which was validated by microscopic and flow cytometry analysis. We also observed enhanced random budding of spaceflight-cultured cells as opposed to bipolar budding patterns for ground samples, in accordance with the gene expression data. Furthermore, genes involved in antifungal agent and stress resistance were differentially regulated in spaceflight, including induction of ABC transporters and members of the major facilitator family, downregulation of ergosterol-encoding genes, and upregulation of genes involved in oxidative stress resistance. Finally, downregulation of genes involved in actin cytoskeleton was observed. Interestingly, the transcriptional regulator Cap1 and over 30% of the Cap1 regulon was differentially expressed in spaceflight-cultured C. albicans . A potential role for Cap1 in the spaceflight response of C. albicans is suggested, as this regulator is involved in random budding, cell aggregation, and oxidative stress resistance; all related to observed spaceflight-associated changes of C. albicans . While culture of C. albicans in microgravity potentiates a global change in gene expression that could induce a virulence-related phenotype, no increased virulence in a murine intraperitoneal (i.p.) infection model was observed under the conditions of this study. Collectively, our data represent an important basis for the assessment of the risk that commensal flora could play during human spaceflight missions. Furthermore, since the low fluid-shear environment of microgravity is relevant to physical forces encountered by pathogens during the infection process, insights gained from this study could identify novel infectious disease mechanisms, with downstream benefits for the general public.",,24,7590,True,True,True
PMC8104057,33795349,Draft Genome Sequences of Aspergillus and Penicillium Species Isolated from the International Space Station and Crew Resupply Vehicle Capsule,7,Adriana Blachowicz,2021 Apr 1,Microbiology Resource Announcements,10.1128/MRA.01398-20,The draft whole-genome sequences (WGS) of 30 fungal strains isolated from the International Space Station and belonging to the Penicillium and Aspergillus genera were assembled. The WGS will allow for detailed genomic characterization to determine the possible applications and importance for space and biotechnological industries.,,7,900,True,True,True
PMC11362537,39209868,Spaceflight alters host-gut microbiota interactions,20,E Gonzalez,2024 Aug 29,NPJ Biofilms and Microbiomes,10.1038/s41522-024-00545-1,"The ISS rodent habitat has provided crucial insights into the impact of spaceflight on mammals, inducing symptoms characteristic of liver disease, insulin resistance, osteopenia, and myopathy. Although these physiological responses can involve the microbiome on Earth, host-microbiota interactions during spaceflight are still being elucidated. We explore murine gut microbiota and host gene expression in the colon and liver after 29 and 56 days of spaceflight using multiomics. Metagenomics revealed significant changes in 44 microbiome species, including relative reductions in bile acid and butyrate metabolising bacteria like Extibacter muris and Dysosmobacter welbionis . Functional prediction indicate over-representation of fatty acid and bile acid metabolism, extracellular matrix interactions, and antibiotic resistance genes. Host gene expression described corresponding changes to bile acid and energy metabolism, and immune suppression. These changes imply that interactions at the host-gut microbiome interface contribute to spaceflight pathology and that these interactions might critically influence human health and long-duration spaceflight feasibility.",,39,9414,True,True,True
PMC11701653,39558178,NASA open science data repository: open science for life in space,6,Samrawit G Gebre,2024 Nov 18,Nucleic Acids Research,10.1093/nar/gkae1116,"Space biology and health data are critical for the success of deep space missions and sustainable human presence off-world. At the core of effectively managing biomedical risks is the commitment to open science principles, which ensure that data are findable, accessible, interoperable, reusable, reproducible and maximally open. The 2021 integration of the Ames Life Sciences Data Archive with GeneLab to establish the NASA Open Science Data Repository significantly enhanced access to a wide range of life sciences, biomedical-clinical and mission telemetry data alongside existing ‘omics data from GeneLab. This paper describes the new database, its architecture and new data streams supporting diverse data types and enhancing data submission, retrieval and analysis. Features include the biological data management environment for improved data submission, a new user interface, controlled data access, an enhanced API and comprehensive public visualization tools for environmental telemetry, radiation dosimetry data and ‘omics analyses. By fostering global collaboration through its analysis working groups and training programs, the open science data repository promotes widespread engagement in space biology, ensuring transparency and inclusivity in research. It supports the global scientific community in advancing our understanding of spaceflight's impact on biological systems, ensuring humans will thrive in future deep space missions.",,31,6333,True,True,True
PMC10025027,36950655,Amelioration of the physio-biochemical responses to salinity stress and computing the primary germination index components in cauliflower on seed priming,9,Tripti Gour,2023 Mar 8,Heliyon,10.1016/j.heliyon.2023.e14403,"The significant horticultural crop, cauliflower ( Brassica oleracea L. var . botrytis ) is vulnerable to the excessive salt concentration in the soil, which contributes to its scaled-down growth and productivity, among other indices. The current study examines the efficacy of hydropriming, halopriming, and osmopriming on the physio-biochemical attributes and tolerance to salinity (100 mM NaCl) in cauliflower under controlled conditions. The results showed that the salinity (100 mM NaCl) has significant deleterious impacts on cauliflower seed germination, seedling growth, and photosynthetic attributes, and provoked the production of reactive oxygen species. In contrast, different priming approaches proved beneficial in mitigating the negative effects of salinity and boosted the germination, vigor indices, seedling growth, and physio-biochemical attributes like photosynthetic pigments, protein, and proline content while suppressing oxidative damage and MDA content in cauliflower seedlings in treatment- and dose-dependent manner. PCA revealed 61% (PC1) and 15% (PC2) of the total variance with substantial positive relationships and high loading conditions on all germination attributes on PC1 with greater PC1 scores for PEG treatments showing the increased germination indices in PEG-treated seeds among all the priming treatments tested. All 13 distinct priming treatments tried clustered into three groups as per Ward's approach of systematic categorization, clustering the third group showing relatively poor germination performances. Most germination traits exhibited statistically significant associations at the p < 0.01 level. Overall, the results established the usefulness of the different priming approaches facilitating better germination, survival, and resistance against salinity in the cauliflower to be used further before sowing in the salt-affected agro-ecosystems.",,39,5410,False,True,False
PMC4012541,24332390,Molecular mechanisms underlying the enhanced functions of three-dimensional hepatocyte aggregates,2,Tammy T Chang,2013 Dec 12,Biomaterials,10.1016/j.biomaterials.2013.11.063,"Three-dimensional (3D) culture of hepatocytes leads to improved and prolonged synthetic and metabolic functions, but the underlying molecular mechanisms are unknown. In order to investigate the role of 3D cell-cell interactions in maintaining hepatocyte differentiated functions ex vivo , primary mouse hepatocytes were cultured either as monolayers on tissue culture dishes (TCD) or as 3D aggregates in rotating wall vessel (RWV) bioreactors. Global gene expression analyses revealed that genes upregulated in 3D culture were distinct from those upregulated during liver development and liver regeneration. Instead, they represented a diverse array of hepatocyte-specific functional genes with significant over-representation of hepatocyte nuclear factor 4α ( Hnf4a ) binding sites in their promoters. Expression of Hnf4a and many of its downstream target genes were significantly increased in RWV cultures as compared to TCD. Conversely, there was concomitant suppression of mesenchymal and cytoskeletal genes in RWV cultures that were induced in TCDs. These findings illustrate the importance of 3D cell-cell interactions in maintaining fundamental molecular pathways of hepatocyte function and serve as a basis for rational design of biomaterials that aim to optimize hepatocyte functions ex vivo for biomedical applications.",,32,4890,False,True,True
